ticker,date,open,high,low,close
CELO,2020-06-25,1.806,1.853,1.806,1.832
CELO,2020-06-26,1.832,1.834,1.8,1.83
CELO,2020-06-27,1.83,1.832,1.752,1.823
CELO,2020-06-28,1.823,1.835,1.773,1.81
CELO,2020-06-29,1.81,1.828,1.741,1.762
CELO,2020-06-30,1.762,1.831,1.705,1.774
CELO,2020-07-01,1.774,1.856,1.773,1.804
CELO,2020-07-02,1.804,1.877,1.798,1.844
CELO,2020-07-03,1.843,2.131,1.831,1.833
CELO,2020-07-04,1.842,1.862,1.841,1.851
CELO,2020-07-05,1.851,1.866,1.823,1.843
CELO,2020-07-06,1.843,1.926,1.84,1.924
CELO,2020-07-07,1.924,1.938,1.907,1.917
CELO,2020-07-08,1.917,1.926,1.8,1.894
CELO,2020-07-09,1.894,1.898,1.66,1.808
CELO,2020-07-10,1.808,1.811,1.701,1.786
CELO,2020-07-11,1.786,1.794,1.622,1.724
CELO,2020-07-12,1.78,1.784,1.681,1.703
CELO,2020-07-13,1.708,1.861,1.677,1.787
CELO,2020-07-14,1.787,1.816,1.67,1.741
CELO,2020-07-15,1.741,1.876,1.713,1.839
CELO,2020-07-16,1.839,1.894,1.781,1.841
CELO,2020-07-17,1.817,1.888,1.753,1.814
CELO,2020-07-18,1.818,1.881,1.799,1.814
CELO,2020-07-19,1.812,1.92,1.749,1.769
CELO,2020-07-20,1.776,1.793,1.77,1.778
CELO,2020-07-21,1.787,1.832,1.742,1.744
CELO,2020-07-22,1.749,1.755,1.692,1.723
CELO,2020-07-23,1.723,1.781,1.702,1.766
CELO,2020-07-24,1.766,1.797,1.754,1.78
CELO,2020-07-25,1.778,1.793,1.765,1.781
CELO,2020-07-26,1.782,1.805,1.775,1.791
CELO,2020-07-27,1.791,1.844,1.782,1.782
CELO,2020-07-28,1.782,1.81,1.767,1.789
CELO,2020-07-29,1.789,1.795,1.774,1.776
CELO,2020-07-30,1.78,1.8,1.779,1.8
CELO,2020-07-31,1.796,1.856,1.778,1.778
CELO,2020-08-01,1.794,1.825,1.794,1.811
CELO,2020-08-02,1.817,1.83,1.66,1.782
CELO,2020-08-03,1.804,1.81,1.776,1.791
CELO,2020-08-04,1.793,1.838,1.754,1.8
CELO,2020-08-05,1.772,1.921,1.771,1.804
CELO,2020-08-06,1.801,1.811,1.768,1.804
CELO,2020-08-07,1.804,1.901,1.732,1.843
CELO,2020-08-08,1.843,2.107,1.84,2.107
CELO,2020-08-09,2.107,2.108,2.064,2.101
CELO,2020-08-10,2.101,2.122,1.954,2.101
CELO,2020-08-11,2.101,2.155,2.019,2.055
CELO,2020-08-12,2.055,2.24,2.025,2.229
CELO,2020-08-13,2.229,2.49,2.049,2.437
CELO,2020-08-14,2.437,2.633,2.434,2.599
CELO,2020-08-15,2.6,2.619,2.45,2.469
CELO,2020-08-16,2.472,2.551,2.433,2.529
CELO,2020-08-17,2.531,2.662,2.527,2.588
CELO,2020-08-18,2.588,2.856,2.468,2.689
CELO,2020-08-19,2.689,2.734,2.486,2.563
CELO,2020-08-20,2.563,2.622,2.563,2.598
CELO,2020-08-21,2.598,2.598,2.24,2.431
CELO,2020-08-22,2.431,2.486,2.163,2.328
CELO,2020-08-23,2.328,2.4,2.322,2.365
CELO,2020-08-24,2.369,2.458,2.369,2.455
CELO,2020-08-25,2.453,3.0,2.453,2.879
CELO,2020-08-26,2.879,4.497,2.828,4.458
CELO,2020-08-27,4.458,4.624,3.736,3.97
