ticker,date,open,high,low,close
AVAX,2020-09-22,5.014,7.007,4.031,5.25
AVAX,2020-09-23,5.25,5.365,3.403,3.525
AVAX,2020-09-24,3.525,4.892,3.406,4.59
AVAX,2020-09-25,4.59,5.028,4.204,4.718
AVAX,2020-09-26,4.718,4.83,4.338,4.529
AVAX,2020-09-27,4.529,4.722,4.115,4.657
AVAX,2020-09-28,4.657,4.71,4.172,4.206
AVAX,2020-09-29,4.206,4.294,3.965,4.143
AVAX,2020-09-30,4.143,4.415,4.0,4.333
AVAX,2020-10-01,4.333,4.535,4.018,4.154
AVAX,2020-10-02,4.154,4.224,3.652,3.916
AVAX,2020-10-03,3.916,4.194,3.874,4.021
AVAX,2020-10-04,4.021,4.084,3.837,3.968
AVAX,2020-10-05,3.968,4.05,3.874,3.985
AVAX,2020-10-06,3.985,4.004,3.503,3.546
AVAX,2020-10-07,3.546,3.55,3.21,3.445
AVAX,2020-10-08,3.445,3.961,3.326,3.919
AVAX,2020-10-09,3.919,4.329,3.807,4.253
AVAX,2020-10-10,4.253,4.272,4.004,4.027
AVAX,2020-10-11,4.027,4.18,3.937,4.1
AVAX,2020-10-12,4.1,4.715,4.058,4.414
AVAX,2020-10-13,4.414,4.569,4.324,4.485
AVAX,2020-10-14,4.485,4.489,4.017,4.164
AVAX,2020-10-15,4.164,4.233,4.002,4.131
AVAX,2020-10-16,4.131,4.162,3.879,4.047
AVAX,2020-10-17,4.047,4.214,3.971,4.199
AVAX,2020-10-18,4.199,4.25,4.074,4.124
AVAX,2020-10-19,4.124,4.179,3.997,4.054
AVAX,2020-10-20,4.054,4.095,3.701,3.809
AVAX,2020-10-21,3.809,4.106,3.798,3.969
AVAX,2020-10-22,3.969,4.488,3.96,4.338
AVAX,2020-10-23,4.338,4.479,4.145,4.258
AVAX,2020-10-24,4.258,4.359,4.16,4.186
AVAX,2020-10-25,4.186,4.253,4.105,4.149
AVAX,2020-10-26,4.149,4.486,4.041,4.152
AVAX,2020-10-27,4.152,4.347,4.037,4.122
AVAX,2020-10-28,4.122,4.175,3.935,4.058
AVAX,2020-10-29,4.058,4.098,3.73,3.775
AVAX,2020-10-30,3.775,3.827,3.583,3.726
AVAX,2020-10-31,3.726,3.748,3.588,3.635
AVAX,2020-11-01,3.635,3.713,3.565,3.681
AVAX,2020-11-02,3.681,3.875,3.616,3.622
AVAX,2020-11-03,3.622,3.651,3.248,3.324
AVAX,2020-11-04,3.324,3.376,3.006,3.176
AVAX,2020-11-05,3.176,3.378,3.02,3.348
AVAX,2020-11-06,3.348,3.658,3.324,3.589
AVAX,2020-11-07,3.589,3.913,3.378,3.422
AVAX,2020-11-08,3.422,3.66,3.362,3.468
AVAX,2020-11-09,3.468,3.533,3.257,3.411
AVAX,2020-11-10,3.411,3.629,3.38,3.576
AVAX,2020-11-11,3.576,3.804,3.462,3.486
AVAX,2020-11-12,3.486,3.56,3.323,3.424
AVAX,2020-11-13,3.424,3.696,3.392,3.674
AVAX,2020-11-14,3.674,3.697,3.4,3.487
AVAX,2020-11-15,3.487,3.642,3.419,3.548
AVAX,2020-11-16,3.548,3.817,3.458,3.7
AVAX,2020-11-17,3.7,3.93,3.692,3.839
AVAX,2020-11-18,3.839,3.867,3.58,3.744
AVAX,2020-11-19,3.744,3.827,3.567,3.642
AVAX,2020-11-20,3.642,4.002,3.624,3.714
AVAX,2020-11-21,3.714,4.085,3.665,4.015
AVAX,2020-11-22,4.015,4.051,3.709,3.887
AVAX,2020-11-23,3.887,4.248,3.854,4.071
AVAX,2020-11-24,4.071,4.33,3.868,4.25
AVAX,2020-11-25,4.25,4.398,3.911,4.046
AVAX,2020-11-26,4.046,4.091,3.309,3.537
AVAX,2020-11-27,3.537,3.761,3.427,3.594
AVAX,2020-11-28,3.594,3.7,3.478,3.631
AVAX,2020-11-29,3.631,3.766,3.537,3.705
AVAX,2020-11-30,3.705,3.816,3.648,3.702
AVAX,2020-12-01,3.702,3.814,3.462,3.563
AVAX,2020-12-02,3.563,3.845,3.513,3.742
AVAX,2020-12-03,3.742,3.897,3.718,3.818
AVAX,2020-12-04,3.818,3.859,3.513,3.537
AVAX,2020-12-05,3.537,3.72,3.514,3.642
AVAX,2020-12-06,3.642,3.677,3.513,3.608
AVAX,2020-12-07,3.608,3.612,3.322,3.391
AVAX,2020-12-08,3.391,3.391,3.091,3.116
AVAX,2020-12-09,3.116,3.414,2.788,3.261
AVAX,2020-12-10,3.261,3.348,3.065,3.148
AVAX,2020-12-11,3.148,3.303,3.016,3.24
AVAX,2020-12-12,3.24,3.454,3.238,3.338
AVAX,2020-12-13,3.338,3.416,3.283,3.34
AVAX,2020-12-14,3.34,3.341,3.137,3.142
AVAX,2020-12-15,3.142,3.461,3.064,3.302
AVAX,2020-12-16,3.302,3.376,3.147,3.342
AVAX,2020-12-17,3.342,3.375,3.187,3.209
AVAX,2020-12-18,3.209,3.475,3.148,3.411
AVAX,2020-12-19,3.411,3.607,3.38,3.464
AVAX,2020-12-20,3.464,3.494,3.28,3.305
AVAX,2020-12-21,3.305,3.352,2.995,3.088
AVAX,2020-12-22,3.088,3.131,2.924,3.078
AVAX,2020-12-23,3.078,3.666,2.765,2.946
AVAX,2020-12-24,2.946,3.111,2.787,3.103
AVAX,2020-12-25,3.103,3.126,2.845,2.951
AVAX,2020-12-26,2.951,2.989,2.846,2.913
AVAX,2020-12-27,2.913,3.069,2.841,2.9
AVAX,2020-12-28,2.9,3.045,2.865,2.954
AVAX,2020-12-29,2.954,3.004,2.832,2.923
AVAX,2020-12-30,2.923,2.941,2.837,2.919
AVAX,2020-12-31,2.919,3.266,2.793,3.205
AVAX,2021-01-01,3.205,3.934,3.05,3.666
AVAX,2021-01-02,3.666,3.941,3.291,3.496
AVAX,2021-01-03,3.496,3.827,3.396,3.475
AVAX,2021-01-04,3.475,3.831,3.259,3.602
AVAX,2021-01-05,3.602,4.363,3.489,4.262
AVAX,2021-01-06,4.262,4.974,4.143,4.58
AVAX,2021-01-07,4.58,4.817,4.197,4.47
AVAX,2021-01-08,4.47,5.863,4.036,5.735
AVAX,2021-01-09,5.735,7.491,5.608,7.223
AVAX,2021-01-10,7.223,7.498,6.156,6.551
AVAX,2021-01-11,6.551,7.003,5.747,6.472
AVAX,2021-01-12,6.472,8.238,6.43,7.737
AVAX,2021-01-13,7.737,8.497,7.15,8.466
AVAX,2021-01-14,8.466,9.565,8.208,9.319
AVAX,2021-01-15,9.319,9.881,8.601,9.392
AVAX,2021-01-16,9.392,13.47,9.165,12.83
AVAX,2021-01-17,12.83,14.55,12.34,13.18
AVAX,2021-01-18,13.18,13.85,12.6,12.7
AVAX,2021-01-19,12.7,13.37,11.59,11.76
AVAX,2021-01-20,11.76,13.04,11.04,12.38
AVAX,2021-01-21,12.38,12.99,11.09,11.33
AVAX,2021-01-22,11.33,13.39,10.7,12.73
AVAX,2021-01-23,12.73,13.49,12.53,12.89
AVAX,2021-01-24,12.89,13.2,12.23,12.49
AVAX,2021-01-25,12.49,12.95,12.07,12.18
AVAX,2021-01-26,12.18,12.72,11.41,12.19
AVAX,2021-01-27,12.19,12.22,10.81,11.17
AVAX,2021-01-28,11.17,12.78,10.84,11.98
AVAX,2021-01-29,11.98,12.67,11.37,11.62
AVAX,2021-01-30,11.62,12.66,11.31,12.06
AVAX,2021-01-31,12.06,15.36,11.85,13.49
AVAX,2021-02-01,13.49,13.62,12.59,13.23
AVAX,2021-02-02,13.23,13.7,12.81,13.5
AVAX,2021-02-03,13.5,14.95,13.22,14.85
AVAX,2021-02-04,14.85,15.89,13.92,15.32
AVAX,2021-02-05,15.32,18.03,15.13,17.89
AVAX,2021-02-06,17.89,18.61,15.92,18.07
AVAX,2021-02-07,18.07,24.43,17.95,23.79
AVAX,2021-02-08,23.79,33.78,23.64,30.15
AVAX,2021-02-09,30.15,33.03,27.52,31.7
AVAX,2021-02-10,31.7,60.22,31.4,54.97
AVAX,2021-02-11,54.97,56.4,41.76,46.99
AVAX,2021-02-12,46.99,54.56,43.64,48.44
AVAX,2021-02-13,48.44,51.87,43.01,43.14
AVAX,2021-02-14,43.14,44.03,38.01,38.45
AVAX,2021-02-15,38.45,43.89,33.56,38.09
AVAX,2021-02-16,38.09,39.54,34.95,36.34
AVAX,2021-02-17,36.34,41.31,34.06,36.92
AVAX,2021-02-18,36.92,43.68,35.82,41.0
AVAX,2021-02-19,41.0,41.26,37.59,38.77
AVAX,2021-02-20,38.77,42.81,32.62,36.03
AVAX,2021-02-21,36.03,37.98,34.89,36.17
AVAX,2021-02-22,36.17,36.27,26.63,32.26
AVAX,2021-02-23,32.26,32.35,23.56,27.59
AVAX,2021-02-24,27.59,32.25,25.33,29.82
AVAX,2021-02-25,29.82,32.22,26.53,26.78
AVAX,2021-02-26,26.78,28.05,24.93,25.97
AVAX,2021-02-27,25.97,27.5,25.09,25.81
AVAX,2021-02-28,25.81,25.97,22.21,23.99
AVAX,2021-03-01,23.99,27.81,23.62,27.46
AVAX,2021-03-02,27.46,31.88,25.93,27.14
AVAX,2021-03-03,27.14,29.42,26.55,27.23
AVAX,2021-03-04,27.23,28.81,24.25,25.76
AVAX,2021-03-05,25.76,25.8,23.57,24.33
AVAX,2021-03-06,24.33,25.49,23.85,24.9
AVAX,2021-03-07,24.9,27.94,24.9,26.66
AVAX,2021-03-08,26.66,27.1,25.04,25.61
AVAX,2021-03-09,25.61,34.77,23.62,34.38
AVAX,2021-03-10,34.38,35.79,28.78,29.63
AVAX,2021-03-11,29.63,32.85,28.45,30.81
AVAX,2021-03-12,30.81,31.56,26.88,27.96
AVAX,2021-03-13,27.96,33.21,26.94,30.89
AVAX,2021-03-14,30.89,32.27,28.94,28.96
AVAX,2021-03-15,28.96,30.62,27.09,28.93
AVAX,2021-03-16,28.93,33.24,27.57,33.03
AVAX,2021-03-17,33.03,33.91,30.72,32.66
AVAX,2021-03-18,32.66,35.59,31.86,33.21
AVAX,2021-03-19,33.21,38.46,31.41,37.36
AVAX,2021-03-20,37.36,39.26,34.16,34.18
AVAX,2021-03-21,34.18,35.44,32.03,32.81
AVAX,2021-03-22,32.81,33.58,28.7,29.2
AVAX,2021-03-23,29.2,30.87,28.14,28.48
AVAX,2021-03-24,28.48,30.46,24.99,25.88
AVAX,2021-03-25,25.88,27.5,24.37,25.82
AVAX,2021-03-26,25.82,28.87,25.79,28.27
AVAX,2021-03-27,28.27,28.64,26.82,27.63
AVAX,2021-03-28,27.63,29.52,27.21,28.72
AVAX,2021-03-29,28.72,30.35,28.21,29.54
AVAX,2021-03-30,29.54,30.9,28.82,29.64
AVAX,2021-03-31,29.64,29.94,26.63,28.73
AVAX,2021-04-01,28.73,29.34,27.73,28.26
AVAX,2021-04-02,28.26,29.58,27.96,29.03
AVAX,2021-04-03,29.03,32.85,27.92,28.17
AVAX,2021-04-04,28.17,29.9,27.59,29.17
AVAX,2021-04-05,29.17,32.97,28.57,31.26
AVAX,2021-04-06,31.26,34.55,30.51,31.49
AVAX,2021-04-07,31.49,33.26,28.63,29.5
AVAX,2021-04-08,29.5,31.58,29.24,30.74
AVAX,2021-04-09,30.74,32.45,30.31,31.5
AVAX,2021-04-10,31.5,33.94,30.89,31.8
AVAX,2021-04-11,31.8,32.32,30.93,31.58
AVAX,2021-04-12,31.58,35.61,31.29,33.81
AVAX,2021-04-13,33.81,34.86,31.7,33.65
AVAX,2021-04-14,33.65,39.39,32.93,38.33
AVAX,2021-04-15,38.33,40.77,36.28,37.03
AVAX,2021-04-16,37.03,37.56,33.3,35.48
AVAX,2021-04-17,35.48,36.86,33.51,33.96
AVAX,2021-04-18,33.96,34.3,23.31,29.36
AVAX,2021-04-19,29.36,30.56,25.76,26.19
AVAX,2021-04-20,26.19,28.78,23.9,27.46
AVAX,2021-04-21,27.46,28.44,25.78,25.81
AVAX,2021-04-22,25.81,27.72,23.27,24.01
AVAX,2021-04-23,24.01,26.35,19.87,23.56
AVAX,2021-04-24,23.56,23.95,21.5,21.86
AVAX,2021-04-25,21.86,23.74,20.47,21.64
AVAX,2021-04-26,21.64,26.52,21.42,26.48
AVAX,2021-04-27,26.48,28.01,25.77,27.97
AVAX,2021-04-28,27.97,29.09,25.9,28.27
AVAX,2021-04-29,28.27,29.72,26.64,27.91
AVAX,2021-04-30,27.91,32.99,27.52,32.81
AVAX,2021-05-01,32.81,35.64,31.75,31.81
AVAX,2021-05-02,31.81,32.66,30.5,31.29
AVAX,2021-05-03,31.29,37.25,31.17,35.86
AVAX,2021-05-04,35.86,36.21,29.61,30.42
AVAX,2021-05-05,30.42,35.64,29.91,35.32
AVAX,2021-05-06,35.32,39.36,34.75,38.05
AVAX,2021-05-07,38.05,43.87,36.04,37.92
AVAX,2021-05-08,37.92,39.82,37.24,38.39
AVAX,2021-05-09,38.39,39.46,35.11,38.98
AVAX,2021-05-10,38.98,41.83,30.64,34.71
AVAX,2021-05-11,34.71,37.33,32.61,36.81
AVAX,2021-05-12,36.81,41.44,32.88,32.97
AVAX,2021-05-13,32.97,37.16,31.05,35.06
AVAX,2021-05-14,35.06,38.02,33.32,37.02
AVAX,2021-05-15,37.02,39.96,34.19,34.49
AVAX,2021-05-16,34.49,39.72,32.72,36.19
AVAX,2021-05-17,36.19,37.82,32.6,33.65
AVAX,2021-05-18,33.65,37.69,33.32,36.96
AVAX,2021-05-19,36.96,38.52,18.5,23.2
AVAX,2021-05-20,23.2,28.23,20.93,25.11
AVAX,2021-05-21,25.11,26.75,18.43,21.86
AVAX,2021-05-22,21.86,22.44,18.35,18.85
AVAX,2021-05-23,18.85,19.69,12.14,15.63
AVAX,2021-05-24,15.63,20.51,15.07,19.4
AVAX,2021-05-25,19.4,20.25,17.12,19.48
AVAX,2021-05-26,19.48,21.45,18.99,20.81
AVAX,2021-05-27,20.81,21.2,18.79,19.08
AVAX,2021-05-28,19.08,19.54,16.02,16.72
AVAX,2021-05-29,16.72,17.59,15.18,16.17
AVAX,2021-05-30,16.17,17.44,15.16,16.53
AVAX,2021-05-31,16.53,18.18,15.7,18.15
AVAX,2021-06-01,18.15,18.57,17.09,17.76
AVAX,2021-06-02,17.76,19.36,17.16,18.69
AVAX,2021-06-03,18.69,20.69,18.23,20.27
AVAX,2021-06-04,20.27,20.56,17.45,18.26
AVAX,2021-06-05,18.26,19.13,16.89,17.22
AVAX,2021-06-06,17.22,17.99,17.09,17.38
AVAX,2021-06-07,17.38,18.04,15.32,15.55
AVAX,2021-06-08,15.55,16.06,13.68,14.81
AVAX,2021-06-09,14.81,15.75,13.66,15.39
AVAX,2021-06-10,15.39,15.57,13.75,14.19
AVAX,2021-06-11,14.19,14.6,13.15,13.41
AVAX,2021-06-12,13.41,13.91,12.65,13.54
AVAX,2021-06-13,13.54,14.99,13.25,14.75
AVAX,2021-06-14,14.75,15.4,14.38,15.11
AVAX,2021-06-15,15.11,15.59,14.61,14.72
AVAX,2021-06-16,14.72,14.93,13.92,14.07
AVAX,2021-06-17,14.07,15.48,14.03,14.85
AVAX,2021-06-18,14.85,15.31,13.12,13.63
AVAX,2021-06-19,13.63,14.04,13.22,13.39
AVAX,2021-06-20,13.39,14.19,12.81,13.93
AVAX,2021-06-21,13.93,14.07,11.1,11.21
AVAX,2021-06-22,11.21,11.77,9.354,10.58
AVAX,2021-06-23,10.58,11.87,10.15,11.46
