ticker,date,open,high,low,close
CAKE,2020-09-30,0.6929,0.8512,0.4297,0.4329
CAKE,2020-10-01,0.4329,0.5157,0.3278,0.4189
CAKE,2020-10-02,0.4189,0.8184,0.4148,0.5161
CAKE,2020-10-03,0.5161,0.7899,0.4937,0.672
CAKE,2020-10-04,0.672,0.7255,0.5203,0.554
CAKE,2020-10-05,0.554,0.554,0.4521,0.4609
CAKE,2020-10-06,0.4609,0.5395,0.4159,0.496
CAKE,2020-10-07,0.496,0.5955,0.4784,0.5396
CAKE,2020-10-08,0.5396,0.593,0.519,0.575
CAKE,2020-10-09,0.575,0.7154,0.575,0.7066
CAKE,2020-10-10,0.7066,0.8878,0.6392,0.7887
CAKE,2020-10-11,0.7887,0.9666,0.7569,0.9472
CAKE,2020-10-12,0.9472,1.473,0.9472,1.115
CAKE,2020-10-13,1.115,1.128,0.792,0.8476
CAKE,2020-10-14,0.8476,0.9875,0.7376,0.8851
CAKE,2020-10-15,0.8851,0.9221,0.7987,0.8801
CAKE,2020-10-16,0.8801,0.9156,0.7833,0.8199
CAKE,2020-10-17,0.8199,0.8585,0.6046,0.6052
CAKE,2020-10-18,0.6052,0.8281,0.534,0.61
CAKE,2020-10-19,0.61,0.728,0.5649,0.6089
CAKE,2020-10-20,0.6089,0.6432,0.5574,0.6196
CAKE,2020-10-21,0.6196,0.6526,0.5585,0.5814
CAKE,2020-10-22,0.5814,0.6356,0.5814,0.6132
CAKE,2020-10-23,0.6132,0.6666,0.5931,0.6571
CAKE,2020-10-24,0.6571,0.6631,0.582,0.5896
CAKE,2020-10-25,0.5896,0.621,0.478,0.4832
CAKE,2020-10-26,0.4832,0.5187,0.3109,0.4389
CAKE,2020-10-27,0.4389,0.5345,0.4372,0.4451
CAKE,2020-10-28,0.4451,0.4451,0.3558,0.4041
CAKE,2020-10-29,0.4041,0.4642,0.3934,0.4122
CAKE,2020-10-30,0.4122,0.4124,0.3622,0.3999
CAKE,2020-10-31,0.3999,0.424,0.3897,0.3994
CAKE,2020-11-01,0.3994,0.4014,0.3612,0.3629
CAKE,2020-11-02,0.3629,0.3708,0.3093,0.3229
CAKE,2020-11-03,0.3229,0.3229,0.1921,0.2817
CAKE,2020-11-04,0.2817,0.3044,0.2516,0.2845
CAKE,2020-11-05,0.2845,0.2947,0.2089,0.2792
CAKE,2020-11-06,0.2792,0.3327,0.2792,0.2973
CAKE,2020-11-07,0.2973,0.3003,0.2511,0.2609
CAKE,2020-11-08,0.2609,0.2665,0.2472,0.2512
CAKE,2020-11-09,0.2512,0.2512,0.2042,0.2227
CAKE,2020-11-10,0.2227,0.2516,0.2116,0.2364
CAKE,2020-11-11,0.2364,0.2659,0.229,0.2332
CAKE,2020-11-12,0.2332,0.2547,0.222,0.2323
