ticker,date,open,high,low,close
DYDX,2022-05-14,2.01657,2.07526,1.71938,1.91931
DYDX,2022-05-15,1.92131,2.15797,1.90414,2.09049
DYDX,2022-05-16,2.09328,2.14243,1.83343,1.91551
DYDX,2022-05-17,1.9175,2.08371,1.84822,2.00259
DYDX,2022-05-18,2.00938,2.24286,1.81881,2.12723
DYDX,2022-05-19,2.13522,2.14721,1.88411,1.96403
DYDX,2022-05-20,1.96423,2.09832,1.87974,1.93068
DYDX,2022-05-21,1.93368,2.25606,1.9175,2.15619
DYDX,2022-05-22,2.15719,2.307,2.08529,2.13743
DYDX,2022-05-23,2.13843,2.33866,2.0845,2.10547
DYDX,2022-05-24,2.10447,2.11267,1.9177,2.04733
DYDX,2022-05-25,2.04933,2.22033,1.98062,2.12944
DYDX,2022-05-26,2.12844,2.13244,1.67516,1.76723
DYDX,2022-05-27,1.76705,1.7962,1.59824,1.67715
DYDX,2022-05-28,1.67607,1.74107,1.62714,1.705
DYDX,2022-05-29,1.70097,1.75212,1.63019,1.71711
DYDX,2022-05-30,1.71928,1.98241,1.71217,1.94944
DYDX,2022-05-31,1.95543,2.1223,1.91247,2.00819
DYDX,2022-06-01,2.00869,2.11539,1.78971,1.79818
DYDX,2022-06-02,1.79386,1.85563,1.7755,1.84294
DYDX,2022-06-03,1.84304,1.86912,1.68287,1.73199
DYDX,2022-06-04,1.73249,1.7648,1.65666,1.74827
DYDX,2022-06-05,1.74969,1.78154,1.69463,1.74736
DYDX,2022-06-06,1.75035,1.83647,1.72038,1.78049
DYDX,2022-06-07,1.7825,1.79645,1.62758,1.71659
DYDX,2022-06-08,1.71563,1.74166,1.61995,1.66592
DYDX,2022-06-09,1.66891,1.76748,1.62873,1.69358
DYDX,2022-06-10,1.69358,1.82835,1.56342,1.61393
DYDX,2022-06-11,1.61894,1.66721,1.41225,1.46035
DYDX,2022-06-12,1.46133,1.46835,1.25523,1.31938
DYDX,2022-06-13,1.31938,1.31938,1.02945,1.12643
DYDX,2022-06-14,1.12744,1.24305,1.04045,1.10767
DYDX,2022-06-15,1.10768,1.2696,1.05414,1.2651
DYDX,2022-06-16,1.2632,1.27521,1.12326,1.15548
DYDX,2022-06-17,1.12643,1.19632,1.10446,1.1626
DYDX,2022-06-18,1.1666,1.1876,1.00529,1.04331
DYDX,2022-06-19,1.0453,1.23951,1.0085,1.20743
DYDX,2022-06-20,1.209,1.34435,1.20174,1.26241
DYDX,2022-06-21,1.26161,1.4553,1.24793,1.33933
DYDX,2022-06-22,1.33923,1.53836,1.3019,1.43406
DYDX,2022-06-23,1.43516,1.52427,1.37772,1.43976
DYDX,2022-06-24,1.43996,1.57054,1.43996,1.54539
DYDX,2022-06-25,1.54689,1.58361,1.43374,1.51574
DYDX,2022-06-26,1.51694,1.57261,1.42676,1.4697
DYDX,2022-06-27,1.4686,1.46939,1.36075,1.39136
DYDX,2022-06-28,1.39076,1.50764,1.34294,1.40038
DYDX,2022-06-29,1.40036,1.48533,1.34078,1.46642
DYDX,2022-06-30,1.46804,1.48072,1.27385,1.29864
DYDX,2022-07-01,1.30164,1.40459,1.29405,1.34402
